Wage,Age,Club,League,Nation,Position,Apps,Caps
46427000.0,23,PSG,Ligue 1 Uber Eats,FRA,Forward,190,57
42125000.0,30,PSG,Ligue 1 Uber Eats,BRA,Midfilder,324,119
34821000.0,35,PSG,Ligue 1 Uber Eats,ARG,Forward,585,162
19959000.0,31,R. Madrid,La Liga,BEL,Forward,443,120
19500000.0,31,Man UFC,Premier League,ESP,Goalkeeper,480,45
18810000.0,30,R. Madrid,La Liga,AUT,Defender,371,94
18200000.0,29,Inter,Serie A,BEL,Forward,427,102
18200000.0,30,Liverpool,Premier League,EGY,Forward,367,85
18200000.0,27,Chelsea,Premier League,ENG,Midfilder,326,77
18200000.0,29,Man UFC,Premier League,FRA,Defender,287,86
17680000.0,31,Man City,Premier League,BEL,Midfilder,399,91
17680000.0,22,Man City,Premier League,NOR,Forward,159,21
16121000.0,32,R. Madrid,La Liga,GER,Midfilder,433,105
15965000.0,29,A. Madrid,La Liga,SVN,Goalkeeper,368,50
15600000.0,31,Chelsea,Premier League,SEN,Defender,347,61
15600000.0,30,Man UFC,Premier League,BRA,Midfilder,328,63
15476000.0,30,FC Bayern,Bundesliga,SEN,Forward,355,87
15476000.0,34,Barcelona,La Liga,POL,Forward,506,132
15080000.0,31,Chelsea,Premier League,FRA,Midfilder,350,53
15046000.0,32,FC Bayern,Bundesliga,GER,Midfilder,457,115
15046000.0,27,FC Bayern,Bundesliga,GER,Defender,260,68
14616000.0,26,FC Bayern,Bundesliga,GER,Midfilder,205,45
14616000.0,36,FC Bayern,Bundesliga,GER,Goalkeeper,496,112
14432000.0,34,R. Madrid,La Liga,FRA,Forward,532,97
14432000.0,36,R. Madrid,La Liga,CRO,Midfilder,560,152
14300000.0,22,Man UFC,Premier League,ENG,Midfilder,141,23
14040000.0,26,Man City,Premier League,ENG,Midfilder,254,23
13756000.0,23,FC Bayern,Bundesliga,NED,Defender,188,37
13747000.0,30,A. Madrid,La Liga,ESP,Midfilder,456,66
13333000.0,27,A. Madrid,La Liga,ESP,Midfilder,349,19
13272000.0,30,R. Madrid,La Liga,BEL,Goalkeeper,418,94
13000000.0,26,Man UFC,Premier League,FRA,Forward,236,30
13000000.0,27,Man UFC,Premier League,POR,Midfilder,313,46
13000000.0,22,Chelsea,Premier League,ENG,Defender,133,13
12896000.0,27,FC Bayern,Bundesliga,GER,Midfilder,190,34
12896000.0,26,FC Bayern,Bundesliga,FRA,Midfilder,181,40
12480000.0,31,Liverpool,Premier League,NED,Defender,334,47
12381000.0,29,PSG,Ligue 1 Uber Eats,ITA,Midfilder,327,49
12381000.0,28,PSG,Ligue 1 Uber Eats,BRA,Defender,273,69
12070000.0,25,Barcelona,La Liga,NED,Defender,207,43
12037000.0,31,A. Madrid,La Liga,FRA,Forward,462,108
12037000.0,27,FC Bayern,Bundesliga,GER,Midfilder,252,44
11960000.0,21,Chelsea,Premier League,FRA,Defender,55,0
11710000.0,36,PSG,Ligue 1 Uber Eats,ESP,Defender,547,180
11700000.0,31,Liverpool,Premier League,ESP,Midfilder,318,46
11700000.0,24,Man UFC,Premier League,ENG,Forward,210,46
11440000.0,29,Tottenham,Premier League,ENG,Forward,341,73
11440000.0,28,FC Bayern,Bundesliga,POR,Defender,264,36
11177000.0,23,PSG,Ligue 1 Uber Eats,ITA,Goalkeeper,239,46
11177000.0,26,FC Bayern,Bundesliga,FRA,Defender,155,32
11173000.0,22,Juventus,Serie A,SRB,Forward,138,14
10973000.0,29,R. Madrid,La Liga,GER,Defender,282,53
10400000.0,28,Man City,Premier League,ENG,Defender,225,58
10400000.0,29,Man UFC,Premier League,ENG,Defender,374,46
10400000.0,31,Man City,Premier League,ALG,Midfilder,367,75
10385000.0,31,Juventus,Serie A,BRA,Defender,325,37
10380000.0,35,Juventus,Serie A,ITA,Defender,477,116
10380000.0,32,Juventus,Serie A,POL,Goalkeeper,373,64
10346000.0,25,Barcelona,La Liga,CIV,Midfilder,253,56
10346000.0,34,Barcelona,La Liga,ESP,Midfilder,480,137
10346000.0,25,Barcelona,La Liga,FRA,Midfilder,165,27
10346000.0,25,Barcelona,La Liga,BRA,Midfilder,190,9
10346000.0,19,Barcelona,La Liga,ESP,Forward,44,4
10346000.0,26,Barcelona,La Liga,DEN,Defender,160,56
10317000.0,35,Nottm Forest,Premier League,CRC,Goalkeeper,325,107
10244000.0,30,Tottenham,Premier League,KOR,Midfilder,379,102
9887000.0,28,A. Bilbao,La Liga,GHA,Midfilder,309,0
9880000.0,32,Liverpool,Premier League,ENG,Midfilder,406,69
9880000.0,29,Liverpool,Premier League,BRA,Goalkeeper,224,55
9880000.0,25,Chelsea,Premier League,ENG,Defender,147,17
9672000.0,22,R. Madrid,La Liga,BRA,Forward,164,14
9656000.0,33,Barcelona,La Liga,ESP,Defender,434,85
9578000.0,25,Inter,Serie A,ARG,Forward,187,38
9578000.0,29,Inter,Serie A,CRO,Midfilder,364,74
9457000.0,23,FC Bayern,Bundesliga,FRA,Defender,180,6
9457000.0,28,Borussia Dortmund,Bundesliga,CIV,Forward,290,15
9439000.0,31,Capitoline,Serie A,NED,Midfilder,470,85
9405000.0,24,R. Madrid,La Liga,URU,Midfilder,175,42
9360000.0,21,Arsenal,Premier League,BRA,Forward,80,3
9360000.0,28,Man City,Premier League,POR,Midfilder,313,70
9360000.0,28,Liverpool,Premier League,BRA,Defender,319,27
9360000.0,29,Man City,Premier League,BRA,Goalkeeper,296,18
9360000.0,33,Tottenham,Premier League,CRO,Defender,433,113
9360000.0,30,Liverpool,Premier League,BRA,Forward,414,55
9360000.0,21,Chelsea,Premier League,ARG,Midfilder,71,2
9100000.0,32,Man City,Premier League,ENG,Defender,400,68
9100000.0,24,Tottenham,Premier League,ARG,Defender,131,11
9100000.0,25,Man City,Premier League,POR,Defender,214,37
9100000.0,25,Tottenham,Premier League,BRA,Forward,241,36
8924000.0,23,PSG,Ligue 1 Uber Eats,MAR,Defender,167,51
8845000.0,29,Juventus,Serie A,FRA,Midfilder,281,91
8840000.0,33,Chelsea,Premier League,GAB,Forward,445,73
8840000.0,27,Man UFC,Premier League,ENG,Defender,212,21
8840000.0,30,Man UFC,Premier League,DEN,Midfilder,399,115
8840000.0,28,Man UFC,Premier League,SWE,Defender,334,52
8621000.0,27,Borussia Dortmund,Bundesliga,GER,Defender,234,40
8598000.0,26,RB Leipzig,Bundesliga,GER,Midfilder,283,53
8598000.0,30,Borussia Dortmund,Bundesliga,BEL,Defender,324,56
8598000.0,33,Borussia Dortmund,Bundesliga,GER,Defender,435,76
8598000.0,27,PSG,Ligue 1 Uber Eats,FRA,Defender,159,28
8598000.0,33,Borussia Dortmund,Bundesliga,GER,Forward,390,48
8580000.0,31,Man City,Premier League,GER,Midfilder,320,59
8320000.0,28,Liverpool,Premier League,SCO,Defender,337,59
8320000.0,26,Man City,Premier League,ESP,Defender,246,33
8320000.0,29,Arsenal,Premier League,GHA,Midfilder,281,40
8320000.0,26,Man City,Premier League,ENG,Midfilder,221,23
8320000.0,24,Newcastle,Premier League,BRA,Midfilder,135,8
8320000.0,35,Leicester,Premier League,ENG,Forward,518,26
8320000.0,23,Liverpool,Premier League,ENG,Defender,168,17
8290000.0,28,A. Madrid,La Liga,NED,Forward,291,79
8190000.0,23,Barcelona,La Liga,FRA,Defender,155,11
8151000.0,29,A. Madrid,La Liga,ESP,Forward,388,56
8082000.0,22,Chelsea,Premier League,POR,Forward,142,22
7984000.0,30,R. Madrid,La Liga,ESP,Defender,320,29
7984000.0,27,R. Madrid,La Liga,FRA,Defender,179,7
7984000.0,24,R. Madrid,La Liga,BRA,Defender,132,22
7983000.0,34,Juventus,Serie A,COL,Defender,369,113
7983000.0,28,Inter,Serie A,TUR,Midfilder,334,72
7983000.0,25,Juventus,Serie A,BRA,Defender,125,0
7983000.0,24,Juventus,Serie A,ITA,Midfilder,178,37
7983000.0,36,Inter,Serie A,BIH,Forward,576,124
7983000.0,25,Inter,Serie A,ITA,Midfilder,224,39
7800000.0,33,Chelsea,Premier League,ESP,Defender,499,40
7800000.0,23,Chelsea,Premier League,GER,Forward,180,28
7800000.0,26,Chelsea,Premier League,ENG,Midfilder,132,10
7800000.0,28,Chelsea,Premier League,CRO,Midfilder,317,81
7800000.0,21,Chelsea,Premier League,UKR,Midfilder,49,5
7800000.0,23,Chelsea,Premier League,USA,Midfilder,169,51
7800000.0,22,Man UFC,Premier League,BRA,Midfilder,91,9
7738000.0,19,Barcelona,La Liga,ESP,Midfilder,90,12
7738000.0,28,Juventus,Serie A,ARG,Midfilder,215,44
7733000.0,27,Juventus,Serie A,FRA,Midfilder,260,29
7621000.0,27,Chelsea,Premier League,ESP,Goalkeeper,272,11
7397000.0,30,Barcelona,La Liga,GER,Goalkeeper,348,28
7397000.0,29,A. Madrid,La Liga,BEL,Defender,294,57
7397000.0,27,A. Madrid,La Liga,ESP,Defender,230,5
7308000.0,28,Man UFC,Premier League,AUT,Midfilder,373,64
7308000.0,28,Borussia Dortmund,Bundesliga,GER,Defender,285,37
7280000.0,23,Liverpool,Premier League,URU,Forward,109,11
7280000.0,25,Liverpool,Premier League,POR,Forward,237,27
7280000.0,31,Liverpool,Premier League,CMR,Defender,328,27
7280000.0,25,Man UFC,Premier League,NED,Midfilder,187,19
7222000.0,29,PSG,Ligue 1 Uber Eats,ESP,Defender,212,11
7182000.0,28,Capitoline,Serie A,ARG,Forward,343,34
7173000.0,36,A. Bilbao,La Liga,ESP,Midfilder,579,2
6909000.0,21,R. Madrid,La Liga,BRA,Forward,124,5
6909000.0,32,R. Madrid,La Liga,ESP,Defender,360,22
6897000.0,27,A. Madrid,La Liga,ESP,Defender,212,16
6878000.0,22,Sporting CP,Primiera Liga,POR,Forward,140,7
6878000.0,24,FC Bayern,Bundesliga,MAR,Defender,157,12
6878000.0,21,FC Bayern,Bundesliga,CAN,Defender,169,32
6760000.0,29,Man UFC,Premier League,BRA,Midfilder,239,28
6760000.0,32,Everton,Premier League,SEN,Midfilder,343,88
6760000.0,27,Liverpool,Premier League,GUI,Midfilder,216,50
6760000.0,28,Man City,Premier League,ESP,Defender,310,15
6760000.0,25,West Ham,Premier League,BRA,Midfilder,155,35
6760000.0,29,Crystal Palace,Premier League,CIV,Midfilder,411,26
6725000.0,26,R. Madrid,La Liga,ESP,Midfilder,198,11
6706000.0,32,AS Monaco,Ligue 1 Uber Eats,FRA,Forward,378,19
6665000.0,19,R. Madrid,La Liga,FRA,Midfilder,102,3
6630000.0,34,Juventus,Serie A,ARG,Midfilder,461,122
6552000.0,26,Liverpool,Premier League,BRA,Midfilder,132,22
6500000.0,30,Aston Villa,Premier League,BRA,Midfilder,332,63
6500000.0,30,West Ham,Premier League,ENG,Forward,311,3
6500000.0,29,Liverpool,Premier League,ENG,Midfilder,255,35
6483000.0,31,OGC Nice,Ligue 1 Uber Eats,WAL,Midfilder,354,75
6466000.0,23,Barcelona,La Liga,URU,Defender,150,11
6466000.0,18,Barcelona,La Liga,ESP,Midfilder,41,10
6448000.0,24,RB Leipzig,Bundesliga,FRA,Midfilder,156,6
6448000.0,33,FC Bayern,Bundesliga,CMR,Forward,345,68
6388000.0,32,Lazio,Serie A,ITA,Forward,384,55
6379000.0,26,Capitoline,Serie A,ITA,Midfilder,201,23
6335000.0,24,Milan,Serie A,ALG,Midfilder,184,40
6240000.0,29,Everton,Premier League,MLI,Midfilder,278,2
6240000.0,25,Nottm Forest,Premier League,ENG,Goalkeeper,149,1
6240000.0,21,Chelsea,Premier League,FRA,Defender,106,0
6240000.0,27,Everton,Premier League,COL,Defender,193,39
6240000.0,22,Man City,Premier League,ENG,Forward,104,16
6240000.0,24,Man UFC,Premier League,ARG,Defender,127,7
6240000.0,29,LOSC,Ligue 1 Uber Eats,POR,Midfilder,233,29
6240000.0,25,Arsenal,Premier League,UKR,Defender,132,52
6240000.0,23,Arsenal,Premier League,NOR,Midfilder,242,43
6240000.0,29,West Ham,Premier League,FRA,Goalkeeper,220,3
6240000.0,25,Arsenal,Premier League,BRA,Forward,212,56
6240000.0,29,Aston Villa,Premier League,FRA,Defender,274,46
6240000.0,25,Leicester,Premier League,BEL,Midfilder,313,52
6240000.0,28,Leicester,Premier League,POR,Defender,234,7
6240000.0,35,Tottenham,Premier League,FRA,Goalkeeper,559,139
6240000.0,21,Bayer 04,Bundesliga,ENG,Defender,78,3
6240000.0,36,Liverpool,Premier League,ENG,Defender,601,61
6240000.0,22,Newcastle,Premier League,SWE,Forward,165,37
6240000.0,25,Parthenope,Serie A,FRA,Midfilder,165,7
6190000.0,22,R. Madrid,La Liga,FRA,Midfilder,104,12
6141000.0,26,R. Madrid,La Liga,ESP,Forward,269,29
6069000.0,30,Inter,Serie A,NED,Defender,358,57
6018000.0,26,FC Bayern,Bundesliga,FRA,Defender,191,45
6014000.0,26,Borussia Dortmund,Bundesliga,GER,Midfilder,267,38
5720000.0,27,Arsenal,Premier League,BEL,Defender,290,19
5720000.0,25,Leicester,Premier League,ENG,Midfilder,236,1
5720000.0,28,Everton,Premier League,ENG,Goalkeeper,334,45
5720000.0,30,Wolves,Premier League,ESP,Midfilder,372,22
5720000.0,30,Arsenal,Premier League,ITA,Midfilder,395,44
5720000.0,25,Arsenal,Premier League,SCO,Defender,170,32
5720000.0,23,Liverpool,Premier League,NED,Midfilder,131,7
5720000.0,30,Man UFC,Premier League,ENG,Defender,204,27
5720000.0,29,Arsenal,Premier League,SUI,Midfilder,383,104
5720000.0,27,Man City,Premier League,NED,Defender,182,27
5720000.0,27,Tottenham,Premier League,DEN,Midfilder,287,58
5720000.0,24,Chelsea,Premier League,ESP,Defender,190,1
5604000.0,28,OGC Nice,Ligue 1 Uber Eats,ENG,Midfilder,249,33
5604000.0,34,Sevilla,La Liga,CRO,Midfilder,545,106
5588000.0,29,A. Madrid,La Liga,CTA,Midfilder,307,13
5588000.0,23,Milan,Serie A,ESP,Forward,81,1
5587000.0,28,Parthenope,Serie A,POL,Midfilder,300,72
5587000.0,28,Juventus,Serie A,ITA,Defender,186,7
5587000.0,28,Inter,Serie A,ARG,Forward,250,17
5582000.0,26,A. Madrid,La Liga,FRA,Defender,229,27
5527000.0,29,Real Hispalis,La Liga,FRA,Forward,248,25
5527000.0,29,R. Madrid,La Liga,DOM,Forward,179,1
5527000.0,26,R. Madrid,La Liga,ESP,Defender,198,4
5527000.0,31,R. Madrid,La Liga,ESP,Defender,340,9
5460000.0,27,OGC Nice,Ligue 1 Uber Eats,CIV,Forward,240,32
5380000.0,33,A. Madrid,La Liga,BEL,Defender,446,124
5200000.0,33,Bournemouth,Premier League,BRA,Goalkeeper,205,1
5200000.0,20,Chelsea,Premier League,ENG,Midfilder,58,0
5200000.0,34,Leicester,Premier League,NIR,Defender,378,98
5200000.0,27,Southampton,Premier League,ENG,Midfilder,312,11
5200000.0,28,Tottenham,Premier League,ENG,Defender,286,45
5200000.0,30,Newcastle,Premier League,ENG,Goalkeeper,257,8
5200000.0,24,Leicester,Premier League,ENG,Defender,141,1
5200000.0,24,Man UFC,Premier League,ENG,Defender,132,0
5200000.0,24,Leicester,Premier League,ENG,Midfilder,189,1
5200000.0,19,OL,Ligue 1 Uber Eats,FRA,Defender,32,0
5200000.0,31,Newcastle,Premier League,ENG,Defender,361,37
5200000.0,31,Wolves,Premier League,MEX,Forward,370,96
5200000.0,26,Tottenham,Premier League,MLI,Midfilder,164,26
5200000.0,26,Everton,Premier League,NGA,Midfilder,190,58
5200000.0,24,Arsenal,Premier League,BRA,Defender,134,0
5200000.0,35,Wolves,Premier League,POR,Midfilder,555,146
5200000.0,24,Wolves,Premier League,POR,Midfilder,100,8
5200000.0,29,Nottm Forest,Premier League,ENG,Midfilder,219,32
5200000.0,29,Tottenham,Premier League,WAL,Defender,254,74
5200000.0,30,Aston Villa,Premier League,ARG,Goalkeeper,152,17
5200000.0,29,Aston Villa,Premier League,BRA,Defender,252,0
5200000.0,27,West Ham,Premier League,FRA,Defender,265,11
5200000.0,29,Chelsea,Premier League,MAR,Midfilder,265,40
5200000.0,29,Sevilla,La Liga,BRA,Defender,271,6
5200000.0,25,Tottenham,Premier League,URU,Midfilder,207,49
5200000.0,26,Villarreal,La Liga,ARG,Midfilder,183,39
5200000.0,28,OM,Ligue 1 Uber Eats,CIV,Defender,137,46
5200000.0,18,Chelsea,Premier League,ENG,Midfilder,14,0
5200000.0,31,Leeds,Premier League,ESP,Forward,342,27
5200000.0,31,Barcelona,La Liga,ESP,Defender,303,9
5200000.0,22,Aston Villa,Premier League,FRA,Midfilder,137,3
5173000.0,33,A. Bilbao,La Liga,ESP,Midfilder,388,2
5159000.0,20,Borussia Dortmund,Bundesliga,GER,Forward,108,4
5159000.0,34,Sampdoria,Serie A,VEN,Midfilder,410,118
5155000.0,37,Chelsea,Premier League,BRA,Defender,481,109
5155000.0,29,Borussia Dortmund,Bundesliga,GER,Defender,231,12
5112000.0,27,Lazio,Serie A,SRB,Midfilder,272,34
5043000.0,28,Milan,Serie A,FRA,Midfilder,217,1
4999000.0,28,A. Madrid,La Liga,ARG,Midfilder,318,41
4974000.0,23,Parthenope,Serie A,NGA,Forward,127,23
4974000.0,24,Capitoline,Serie A,ENG,Forward,208,11
4974000.0,27,Parthenope,Serie A,MEX,Forward,272,58
4958000.0,27,Tottenham,Premier League,FRA,Defender,239,15
4940000.0,25,Liverpool,Premier League,ENG,Defender,115,11
4940000.0,28,West Ham,Premier League,ITA,Defender,125,27
4940000.0,25,West Ham,Premier League,GER,Defender,155,20
4931000.0,26,Bayer 04,Bundesliga,CZE,Forward,193,33
4793000.0,27,Lazio,Serie A,ITA,Defender,244,12
4793000.0,24,Fiorentina,Serie A,SRB,Defender,209,37
4793000.0,29,Capitoline,Serie A,ITA,Defender,282,29
4793000.0,28,Sassuolo,Serie A,ITA,Forward,313,24
4793000.0,27,Inter,Serie A,SVK,Defender,298,54
4793000.0,29,Capitoline,Serie A,ITA,Defender,204,20
4785000.0,29,OM,Ligue 1 Uber Eats,FRA,Midfilder,363,5
4785000.0,24,Juventus,Serie A,ITA,Midfilder,179,24
4785000.0,27,Capitoline,Serie A,ITA,Midfilder,211,27
4742000.0,25,AS Monaco,Ligue 1 Uber Eats,GER,Goalkeeper,141,0
4729000.0,19,FC Bayern,Bundesliga,GER,Midfilder,74,15
4680000.0,31,OL,Ligue 1 Uber Eats,FRA,Forward,367,16
4680000.0,30,Newcastle,Premier League,ENG,Forward,284,4
4680000.0,22,Newcastle,Premier League,NED,Defender,122,0
4680000.0,25,Benfica,Primiera Liga,POR,Midfilder,236,32
4680000.0,25,Liverpool,Premier League,COL,Forward,197,37
4680000.0,26,Sampdoria,Serie A,ENG,Midfilder,130,10
4680000.0,25,Leicester,Premier League,NGA,Forward,174,43
4680000.0,24,Arsenal,Premier League,ENG,Defender,177,4
4680000.0,29,Everton,Premier League,ENG,Defender,347,2
4680000.0,25,Newcastle,Premier League,FRA,Midfilder,212,0
4680000.0,27,Man City,Premier League,SUI,Defender,200,41
4680000.0,30,Tottenham,Premier League,BRA,Midfilder,365,36
4680000.0,21,Newcastle,Premier League,ENG,Forward,76,0
4643000.0,30,Fulham,Premier League,FRA,Defender,182,13
4643000.0,26,RB Leipzig,Bundesliga,SEN,Defender,154,17
4595000.0,28,Salento,Serie A,FRA,Defender,227,31
4594000.0,25,PSG,Ligue 1 Uber Eats,ESP,Defender,222,9
4559000.0,30,Sevilla,La Liga,SRB,Defender,327,48
4483000.0,36,Real San Sebastian,La Liga,ESP,Midfilder,562,125
4474000.0,23,Inter,Serie A,ITA,Defender,124,15
4423000.0,31,Juventus,Serie A,BRA,Defender,312,45
4423000.0,27,Milan,Serie A,BEL,Forward,209,32
4423000.0,24,Milan,Serie A,FRA,Defender,180,7
4420000.0,30,Fulham,Premier League,GER,Goalkeeper,398,9
4420000.0,24,Crystal Palace,Premier League,FRA,Forward,162,0
4420000.0,25,Aston Villa,Premier League,JAM,Midfilder,200,17
4420000.0,28,Wolves,Premier League,POR,Defender,309,24
4368000.0,25,Everton,Premier League,ENG,Forward,200,11
4311000.0,31,A. Bilbao,La Liga,ESP,Defender,400,19
4311000.0,27,Salernitana,Serie A,POL,Forward,300,23
4311000.0,29,Bayer 04,Bundesliga,GER,Midfilder,246,2
4311000.0,27,A. Madrid,La Liga,ARG,Midfilder,290,20
4311000.0,27,A. Madrid,La Liga,URU,Defender,195,78
4299000.0,33,Bayer 04,Bundesliga,CHI,Midfilder,437,97
4299000.0,33,FC Bayern,Bundesliga,SUI,Goalkeeper,504,74
4299000.0,34,Borussia Dortmund,Bundesliga,FRA,Forward,403,0
4299000.0,34,OL,Ligue 1 Uber Eats,GER,Defender,378,76
4299000.0,25,OM,Ligue 1 Uber Eats,MAR,Midfilder,161,14
4299000.0,26,RB Leipzig,Bundesliga,GER,Defender,193,18
4299000.0,28,OL,Ligue 1 Uber Eats,FRA,Midfilder,193,28
4296000.0,28,Borussia Dortmund,Bundesliga,POR,Defender,275,56
4259000.0,32,Bayer 04,Bundesliga,GER,Midfilder,310,11
4199000.0,32,Capitoline,Serie A,ENG,Defender,308,31
4199000.0,33,Inter,Serie A,ARM,Midfilder,438,94
4160000.0,25,A. Madrid,La Liga,ESP,Defender,180,6
4160000.0,26,West Ham,Premier League,ESP,Midfilder,274,6
4160000.0,30,Nottm Forest,Premier League,ENG,Midfilder,364,6
4160000.0,25,Leicester,Premier League,NGA,Midfilder,235,48
4160000.0,23,Leicester,Premier League,FRA,Midfilder,103,0
4160000.0,26,Newcastle,Premier League,ENG,Defender,159,0
4160000.0,23,Chelsea,Premier League,ENG,Defender,133,0
4160000.0,23,Newcastle,Premier League,ENG,Midfilder,89,0
4160000.0,30,Nottm Forest,Premier League,NZL,Forward,454,70
4160000.0,30,Brighton,Premier League,ENG,Defender,349,1
4160000.0,25,Man UFC,Premier League,SCO,Defender,126,34
4160000.0,37,Aston Villa,Premier League,ENG,Defender,524,39
4160000.0,25,West Ham,Premier League,ENG,Midfilder,227,4
4160000.0,24,Arsenal,Premier League,ENG,Goalkeeper,156,3
4160000.0,21,Sevilla,La Liga,ESP,Midfilder,92,4
4160000.0,26,Newcastle,Premier League,BRA,Midfilder,214,0
4160000.0,22,Arsenal,Premier League,POR,Midfilder,88,0
4160000.0,31,Crystal Palace,Premier League,SRB,Midfilder,342,39
4160000.0,22,Man City,Premier League,ARG,Forward,81,9
4160000.0,29,Real Hispalis,La Liga,ESP,Midfilder,325,0
4160000.0,33,Leicester,Premier League,ENG,Defender,408,19
4160000.0,23,Leicester,Premier League,ZAM,Forward,138,31
4160000.0,25,Aston Villa,Premier League,ARG,Midfilder,262,1
4138000.0,25,Hertha Berlin,Bundesliga,FRA,Midfilder,194,0
4127000.0,30,AS Monaco,Ligue 1 Uber Eats,GER,Midfilder,386,14
4091000.0,22,PSG,Ligue 1 Uber Eats,POR,Midfilder,78,3
4056000.0,31,Valencia,La Liga,BRA,Defender,315,0
4035000.0,27,AS Monaco,Ligue 1 Uber Eats,JPN,Forward,244,42
4004000.0,23,Chelsea,Premier League,ENG,Midfilder,175,31
3992000.0,38,Inter,Serie A,SVN,Goalkeeper,598,81
3992000.0,22,Milan,Serie A,ITA,Midfilder,153,11
3992000.0,29,Lazio,Serie A,ESP,Midfilder,322,1
3987000.0,22,Tottenham,Premier League,SWE,Midfilder,118,25
3955000.0,26,AS Monaco,Ligue 1 Uber Eats,RUS,Midfilder,192,45
3910000.0,32,A. Bilbao,La Liga,ESP,Defender,323,0
3900000.0,27,Aston Villa,Premier League,BEL,Defender,244,29
3900000.0,30,Leicester,Premier League,DEN,Defender,291,35
3900000.0,28,Newcastle,Premier League,PAR,Midfilder,252,44
3900000.0,26,Tottenham,Premier League,COL,Defender,185,51
3900000.0,26,Crystal Palace,Premier League,DEN,Defender,219,17
3900000.0,28,Wolves,Premier League,ESP,Defender,316,3
3900000.0,23,Arsenal,Premier League,ENG,Forward,82,0
3900000.0,23,Leicester,Premier League,ENG,Midfilder,83,0
3900000.0,20,Chelsea,Premier League,ALB,Forward,69,14
3900000.0,34,Tottenham,Premier League,ENG,Goalkeeper,353,6
3900000.0,23,Tottenham,Premier League,BRA,Defender,136,7
3900000.0,22,Everton,Premier League,ENG,Midfilder,140,0
3900000.0,29,Leeds,Premier League,ENG,Forward,285,1
3900000.0,28,Leicester,Premier League,BEL,Midfilder,305,15
3900000.0,30,A. Madrid,La Liga,IRL,Defender,322,29
3880000.0,36,Sevilla,La Liga,ESP,Defender,600,46
3877000.0,24,RB Leipzig,Bundesliga,AUT,Midfilder,186,29
3871000.0,28,Milan,Serie A,CRO,Forward,239,42
3871000.0,35,Milan,Serie A,FRA,Forward,478,112
3871000.0,24,Milan,Serie A,ENG,Defender,147,3
3869000.0,31,A. Madrid,La Liga,MNE,Defender,321,62
3869000.0,30,Barcelona,La Liga,ESP,Defender,312,11
3869000.0,25,Borussia M'gladbach,Bundesliga,FRA,Forward,188,4
3869000.0,30,PSG,Ligue 1 Uber Eats,POR,Defender,294,61
3869000.0,19,Bayer 04,Bundesliga,GER,Midfilder,60,4
3828000.0,28,Capitoline,Serie A,ITA,Forward,333,44
3786000.0,34,Capitoline,Serie A,SRB,Midfilder,419,48
3770000.0,25,Everton,Premier League,ENG,Defender,157,0
3673000.0,29,Parthenope,Serie A,ITA,Defender,324,21
3640000.0,33,Nottm Forest,Premier League,BRA,Defender,264,2
3640000.0,23,West Ham,Premier League,ITA,Forward,132,7
3640000.0,23,Leeds,Premier League,COL,Midfilder,126,7
3640000.0,24,Torino,Serie A,CRO,Forward,208,39
3640000.0,21,Aston Villa,Premier League,ENG,Midfilder,69,0
3640000.0,35,Crystal Palace,Premier League,ESP,Goalkeeper,385,0
3640000.0,27,Aston Villa,Premier League,SCO,Midfilder,331,48
3640000.0,26,Leicester,Premier League,BEL,Defender,215,24
3640000.0,33,Southampton,Premier League,ENG,Midfilder,401,47
3640000.0,29,West Ham,Premier League,ARG,Midfilder,310,5
3640000.0,33,Everton,Premier League,IRL,Defender,373,65
3640000.0,23,Liverpool,Premier League,FRA,Defender,89,2
3640000.0,31,Crystal Palace,Premier League,ENG,Defender,343,14
3640000.0,24,Aston Villa,Premier League,ENG,Defender,209,0
3640000.0,29,Everton,Premier League,ENG,Defender,306,12
3640000.0,32,West Ham,Premier League,JAM,Midfilder,413,6
3640000.0,29,Aston Villa,Premier League,ENG,Defender,211,17
3640000.0,29,Southampton,Premier League,CRO,Midfilder,366,19
3586000.0,26,RB Leipzig,Bundesliga,POR,Forward,272,51
3509000.0,28,Spezia,Serie A,ITA,Defender,159,2
3509000.0,29,Parthenope,Serie A,ITA,Forward,332,7
3484000.0,34,Brighton,Premier League,ENG,Midfilder,427,34
3476000.0,25,PSG,Ligue 1 Uber Eats,POR,Midfilder,177,32
3449000.0,21,Milan,Serie A,USA,Defender,92,17
3448000.0,24,RB Leipzig,Bundesliga,ESP,Midfilder,175,24
3448000.0,24,Getafe,La Liga,ESP,Midfilder,170,0
3448000.0,28,Mallorca,La Liga,KOS,Forward,275,42
3448000.0,24,Nottm Forest,Premier League,BRA,Defender,119,15
3439000.0,28,VfL Wolfsburg,Bundesliga,GER,Midfilder,293,3
3439000.0,22,VfL Wolfsburg,Bundesliga,FRA,Defender,92,0
3439000.0,32,Hoffenheim,Bundesliga,GER,Defender,373,28
3439000.0,32,Bayer 04,Bundesliga,FIN,Goalkeeper,384,78
3439000.0,31,Hoffenheim,Bundesliga,DEN,Midfilder,311,69
3439000.0,20,Sevilla,La Liga,FRA,Defender,33,0
3439000.0,28,SV Werder,Bundesliga,GER,Forward,227,0
3439000.0,27,Getafe,La Liga,MAR,Forward,203,11
3439000.0,24,Borussia Dortmund,Bundesliga,TUR,Midfilder,166,5
3439000.0,23,Borussia Dortmund,Bundesliga,NED,Forward,135,18
